cif,municipality,prov,mun,base_year,data,notes
f,"Stony Plain",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!16608!17097!17615!18148!18689@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Stony Plain",3,2,2000,-!9624!9589!10544!-!-!12363!-!-!-!14177!15051!-!-!-!16127!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Stony Plain",3,2,2000,9354!-!-!-!11150!11757!-!12817!13270!13724!-!-!15320!15589!15858!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Stony Plain",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!16656!17195!17767!18357!18959@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Stony Plain",3,3,2000,-!9624!9589!10544!-!-!12363!-!-!-!14177!15051!-!-!-!16127!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Stony Plain",3,3,2000,9354!-!-!-!11150!11757!-!12817!13270!13724!-!-!15320!15589!15858!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Stony Plain",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!16560!16999!17464!17940!18423@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Strathmore",1,1,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13447!13569!13696!13837!13978@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Strathmore",1,2,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13470!13630!13800!14007!14203@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Strathmore",1,3,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13430!13534!13642!13742!13849@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Strathmore",2,1,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13868!14446!15057!15732!16421@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Strathmore",2,2,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13947!14612!15317!16095!16896@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Strathmore",2,3,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13748!14183!14634!15090!15569@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Strathmore",3,1,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13828!14347!14890!15443!16024@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Strathmore",3,2,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13907!14513!15148!15801!16490@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Strathmore",3,3,2000,7165!7621!8022!8640!9115!9653!10280!11102!11335!11838!12139!12305!12352!-!-!13327!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
i,"Strathmore",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!12677!13002!-!-!-!-!-!@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
f,"Strathmore",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!13748!14183!14634!15090!15569@,"<ul><li>In 2001 both municipal and federal census was conducted.</li><li>In 2006 both municipal and federal census was conducted.</li></ul>"
c,"Sundre",1,1,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",1,1,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2755!2811!2872!2937!3001@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sundre",1,2,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",1,2,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2768!2839!2920!3008!3094@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sundre",1,3,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",1,3,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2745!2789!2836!2884!2930@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sundre",2,1,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",2,1,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2727!2754!2790!2832!2869@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sundre",2,2,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",2,2,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2735!2771!2816!2867!2913@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sundre",2,3,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",2,3,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2695!2689!2684!2680!2673@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sundre",3,1,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",3,1,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2703!2705!2709!2713!2715@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sundre",3,2,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",3,2,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2712!2722!2734!2747!2757@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sundre",3,3,2000,2190!2277!2267!-!-!-!2523!2518!-!-!-!2610!2695!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sundre",3,3,2000,-!-!-!2331!2395!2459!-!-!2541!2564!2587!-!-!2696!2698!2699!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sundre",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!2695!2689!2684!2680!2673@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Swan Hills",1,1,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",1,1,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1478!1489!1502!1515!1529@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Swan Hills",1,2,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",1,2,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1482!1500!1520!1543!1567@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Swan Hills",1,3,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",1,3,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1476!1483!1491!1499!1506@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Swan Hills",2,1,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",2,1,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1447!1430!1415!1403!1392@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Swan Hills",2,2,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",2,2,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1454!1444!1436!1430!1425@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Swan Hills",2,3,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",2,3,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1434!1400!1368!1336!1304@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Swan Hills",3,1,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",3,1,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",3,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1441!1414!1388!1363!1336@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Swan Hills",3,2,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",3,2,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",3,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1448!1427!1408!1389!1369@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Swan Hills",3,3,2000,-!1807!-!-!-!-!1645!-!1858!-!-!1465!-!-!-!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
i,"Swan Hills",3,3,2000,1852!-!1775!1742!1710!1677!-!1857!-!1727!1596!-!1466!1466!1467!1468!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
f,"Swan Hills",3,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!1434!1400!1368!1336!1304@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li></ul>"
c,"Sylvan Lake",1,1,2000,7008!7503!7493!-!8504!-!10250!10729!11115!-!-!12327!-!13015!-!14310!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sylvan Lake",1,1,2000,-!-!-!7999!-!9377!-!-!-!11519!11923!-!12671!-!13663!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sylvan Lake",1,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14545!14812!15105!15431!15765@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sylvan Lake",1,2,2000,7008!7503!7493!-!8504!-!10250!10729!11115!-!-!12327!-!13015!-!14310!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sylvan Lake",1,2,2000,-!-!-!7999!-!9377!-!-!-!11519!11923!-!12671!-!13663!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sylvan Lake",1,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14592!14926!15304!15749!16208@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sylvan Lake",1,3,2000,7008!7503!7493!-!8504!-!10250!10729!11115!-!-!12327!-!13015!-!14310!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sylvan Lake",1,3,2000,-!-!-!7999!-!9377!-!-!-!11519!11923!-!12671!-!13663!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sylvan Lake",1,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14516!14738!14969!15214!15460@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sylvan Lake",2,1,2000,7008!7503!7493!-!8504!-!10250!10729!11115!-!-!12327!-!13015!-!14310!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sylvan Lake",2,1,2000,-!-!-!7999!-!9377!-!-!-!11519!11923!-!12671!-!13663!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sylvan Lake",2,1,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14932!15629!16396!17263!18176@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sylvan Lake",2,2,2000,7008!7503!7493!-!8504!-!10250!10729!11115!-!-!12327!-!13015!-!14310!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sylvan Lake",2,2,2000,-!-!-!7999!-!9377!-!-!-!11519!11923!-!12671!-!13663!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sylvan Lake",2,2,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!15000!15771!16620!17578!18591@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sylvan Lake",2,3,2000,7008!7503!7493!-!8504!-!10250!10729!11115!-!-!12327!-!13015!-!14310!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sylvan Lake",2,3,2000,-!-!-!7999!-!9377!-!-!-!11519!11923!-!12671!-!13663!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
f,"Sylvan Lake",2,3,2000,-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!-!14788!15295!15826!16386!16962@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
c,"Sylvan Lake",3,1,2000,7008!7503!7493!-!8504!-!10250!10729!11115!-!-!12327!-!13015!-!14310!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
i,"Sylvan Lake",3,1,2000,-!-!-!7999!-!9377!-!-!-!11519!11923!-!12671!-!13663!-!-!-!-!-!@,"<ul><li>Census data was aligned to the year the census was conducted rather than year of publication.</li><li>Where available, the most recent federal census data has been used.</li><li>Where available, the most recent federal census data has been used.</li></ul>"
